기업명,직무,주요 업무,자격 요건,우대 사항
(주)킨다그로스,크리에이티브 디렉터 (팀장/AE),"? 킨다그로스 콘텐츠팀 리드, 팀원 매니징
? 브랜드 / 콘텐츠 마케팅 프로젝트 총괄, 디렉팅
? 팀내 파트별 업무 프로세스 확립 및 조직 관리
? 주요 광고주 커뮤니케이션 및 업무 배분
? 프로젝트 제안, 비딩 수주를 위한 제안서 기획 및 작성
? 팀원 매니지먼트 및 성장 서포트성","? 유관 업무 6년 이상
? 마케팅 대행사 근무 경력을 보유하신 분
? 능동적이고 진취적인 성향
? 논리적이고 창의적으로 사고하시는 분
? 조직 및 인력 관리 리더십 보유자
? 트렌디한 디자인 감각을 보유하신 분","? 마케팅 대행사 근무 경력 보유하신 분
? SNS/TVC/옥외/디지털 등 광고 크리에이티브 및 제작 이해도 있으신 분
? 리더 경험이 있으신 분
? 온라인 트렌드에 민감하신 분
? 디자인 툴 사용이 가능하신 분 (포토샵/일러스트/프리미어 등)
? 커뮤니케이션 능력이 원활하신 분"
(주)킨다그로스,병원 마케터 AE 마케터 (경력),"? 마케팅 전략 기획 및 마케팅 프로젝트 제안, 실행
? 고객사 커뮤니케이션, 마케팅 캠페인 진행 및 결과 리포트 작성
? 신규 광고주 수주를 위한 제안서 작성 (인바운드)
? 협력 업체 핸들링","? 병원 관련 마케팅 경력 2년 이상
? 글쓰기에 자신 있으신 분
? 적극적이고 진취적이신 분 (수동적인 성향은 업무와 맡지 않을 수 있음)
? 본인의 마케팅 능력을 보여줄 수 있는 포트폴리오 제출 필수","? 기획 단계부터 참여하여 성공적인 브랜드를 만들어 본 경험이 있으신 분
? 마케팅 대행사 근무 경력을 보유하신 분
? 온라인 트렌드에 민감하신 분
? 커뮤니케이션 능력이 원활하신 분
? 디자인,영상 제작 툴 사용 가능자"
(주)킨다그로스,퍼포먼스 마케터 (경력),"? 퍼포먼스 마케팅 전략 제안 및 미디어 플래닝
? 구글, 네이버, 카카오 등 매체별 SA/DA 광고 운영 및 성과 관리
? 광고주 커뮤니케이션, 캠페인 리포트 작성 및 결과 분석
? 프로젝트 제안, 비딩 수주를 위한 제안서 기획 및 작성","? 유관 업무 1년 이상
? 퍼포먼스 주요 광고 매체에 대한 인사이트가 있으신 분 (메타/네이버/구글/카카오 등)
? 논리적이고 창의적으로 사고하고 글쓰고 말하실 수 있는 분
? 긍정적이고 능동적이며 진취적인 성향
? ‘몰입’해서 결과를 만들어보신 분","? 마케팅 대행사 근무 경력 보유하신 분
? GA, 앱스플라이어 등 트래킹 솔루션 사용 경험이 있으신 분"
(주)쥬비스다이어트,생산/포장 경력,"ㆍ택배출고
ㆍ냉동식품 포장
ㆍ아이스박스 포장
ㆍ부자재 정리","ㆍ냉동식품 포장업무 경력자
ㆍ3면 포장기 오퍼레이팅 경력자
ㆍ소통 원활하고 조직에 잘 어울릴 수 있는 분",ㆍ인근 거주자
티핏클래스(주),글로벌 화장품 브랜드사 일본 영업 마케팅,#NAME?,#NAME?,#NAME?
에스디바이오센서(주),기흥 QA1본부 QA담당자,"체외진단용의료기기 ISO13485 QMS 운영
설계 및 개발 서류(DHF)에 대한 검토 및 관리
Risk management
Post market surveillance
IVDR에 따른 QMS 운영 관련 업무
기타 체외진단의료기기 QA 관련 업무","[학위 및 경력]
경력 7년~
학사 이상","ISO13485 또는 IVDR 규격에 따른 위험, 설계 관리 경험자
영어회화 우수자
운전가능자"
에스디바이오센서(주),청주 QA1본부 QA담당자 모집,#NAME?,"[학위 및 경력]
- 신입, 경력 5년
- 학사 이상",#NAME?
에스디바이오센서(주),기기개발 소프트웨어 개발자,#NAME?,"[학위 및 경력]
-경력 4년~12년
-학사 이상

[필수사항]
-C++, QT 개발 가능자
-2개 이상의 소규모 프로젝트 동시 수행 및 통합 역량 보유자
-응용 소프트웨어 개발
※포토폴리오 필수","-Software architecture, Application Framework 설계 경력자
- Linux, Embedded Linux 환경 내 프로그래밍 경력자
-상용 소프트웨어 개발 경력자
-CI/CD 환경에 대한 이해 혹은 구축 경력자
-비동기식, 병렬 프로그래밍 경력자
-다양한 데이터베이스 활용 경험자 (RDBMS, Cache DB, NoSQL) -기타업무 (Java, Spring Boot, NestJS, Restful API) 관련 경력자 혹은 확장 의지가 있는자"
(주)위픽코퍼레이션,B2B세일즈 매니저 채용,"ㆍ관심 고객 사전조사 및 Sales 전략 수립
ㆍ세일즈 및 설득 전략 수립
ㆍ잠재 고객 육성, 리드 생성, 대화채널 구축
ㆍ영업 리드 관리, AE와 미팅 주선
ㆍ전화 및 이메일을 통해 인바운드 고객에 컨택하여 위픽에 대한 관심도를 향상","ㆍ뛰어난 매너 및 커뮤니케이션 능력
ㆍ성장 욕구와 이를 위한 끊임 없는 학습 의지
ㆍ영업 목표를 달성하기 위한 전략적 접근과 실행력
ㆍB2B 마케팅 세일즈라는 특별한 커리어를 쌓고 싶으신 분
ㆍ새로운 고객과 대화하는 것에 대해 두려움이 없는 분","ㆍ목표를 설정하고 달성하고자 노력한 경험
ㆍ스타트업, 마케팅 업계에서 주도적/도전적인 역할 수행 경험
ㆍ마케팅 혹은 B2B 세일즈 서비스에 관심이 많은 분
ㆍB2B 세일즈 경험이 있는 분"
(주)킨다그로스,미디어 커머스 상품 기획 (경력),"? 고객의 니즈를 해결해줄 수 있는 신상품 기획 및 개발 (킨다그로스 관계사)
? 제조업체 소싱 및 핸들링 (OEM, ODM)
? 제조사 및 원료사 발굴, 협업 (소싱, 비딩, 계약, 생산스케줄, 패키징)","? 유관업무 1년 이상 (뷰티/리빙/건강기능식품 등)
? 평소 온라인에서 물건을 자주 구매하며, 트렌드에 민감하신 분
? 유연한 사고와 원활한 커뮤니케이션 역량 보유하신 분
? 기본적인 영문 리서치 및 의사소통 가능하신 분
? 데이터 기반, 논리적인 사고를 하시는 분","? 네고 협상을 즐기시는 분
? 미디어 커머스 시장에 관심이 많으신 분
? 새로운 제품과 브랜드를 만드는 것을 즐기시는 분
? 커뮤니케이션 능력이 원활하신 분"
(주)매드코퍼레이션,퍼포먼스 마케터 AE 그룹장(본부장) 채용,"? 조직의 성장 관점에서 구성원의 성장 육성을 위한 리딩 및 팀 빌딩
? 신규 클라이언트 수주 활동
? 클라이언트 광고 제안(제안서 작성 및 수주 활동)
? 조직 KPI 설정에 따른 성장 방향성 제시","? 마케팅 에이전시, 미디어랩사 등 디지털 마케팅 경력이 최소 8년 이상이신 분
? 팀 단위의 조직 리딩 경험이 있으신 분 (최소 10인 이상)
? 조직 KPI 설정 및 팀 리더 리딩이 가능하신 분
? 광고 전략을 구상하여 제안서 작성 및 PT 활동이 가능하신분
? 디지털 마케팅 이해도가 있으신 분
? MS 오피스 활용이 우수하신 분(파워포인트, 엑셀 등)
? 기획력이 뛰어나고, 자신의 생각을 논리적으로 대화와 문서로 잘 표현할 수 있는 분","? 제안서 작성,수주 및 운영 경험이 있는 분
? 팀 단위 조직관리 및 리딩 경험이 있으신 분
? 주도적이고 능동적인 성격을 가시신 분"
(주)바비톡,클라이언트영업팀 영업 팀원,"[채용 배경]
바비톡 CSO 조직 산하 클라이언트 영업팀에서 신규파트너사 영업 그리고 신규 및 기존 영업 파트너사 관리 제도 개선을 위해 팀원 충원이 필요하여 채용을 진행하게 되었습니다! 많은 관심바랍니다.

[주요 업무]
? 바비톡 광고주(병원 및 제조사) 발굴을 위한 신규영업
? 광고주(병원) 매출, Data 및 Trend 분석
? 정기적인 광고주(병원) VOC 미팅을 통한 이슈사항 공유

※ 클라이언트 영업팀은 재택 근무를 하고 있지 않습니다.","? 신입 가능
? 영업/관리 경력 1년 이상자 우대
? 긍정적인 마인드 및 논리적인 커뮤니케이션 능력 보유
? 명확한 목표와 전략 설정이 가능하며, 업무에 대한 책임감을 보유하신 분
? 구글 스프레드시트, 파워포인트 등 오피스 툴을 원활하게 사용하실 수 있으신 분","? 성형외과, 피부과 영업 경험이 있으신 분
? 병원 대상 마케팅 또는 영업 경험이 있으신 분
? 기타 B2B 영업 경험이 있으신 분"
오비오(주),기술연구소 얼음정수기 냉동설계 담당자,"냉동설계(얼음정수기)[부장급]

ㆍ가정/업소용 얼음정수기 개발","ㆍ얼음정수기 개발 경험자
ㆍ얼음정수기 관련법규 및 제품평가 가능자
ㆍ얼음정수기 관련부품의 설계 및
사양 선정 가능자
ㆍNX 혹은 CREO로 능숙하게 설계 가능자","ㆍ얼음 정수기 개발 경험자
ㆍ시장품질 개선 및 항상 경험자
ㆍ향상된 부품 개발 경험자"
오비오(주),기술연구소 커피머신 기구 설계 담당자 채용(과장~부장급),"[과장~부장급]
ㆍ커피머신 기구 설계 및 검증","ㆍ기계공학 및 관련학과 전공자
ㆍ3D 설계 프로그램 사용 가능자",ㆍ커피머신 관련 개발 경험자
(주)테드스토리,축산 B2B 세일즈 리드(팀장급),"본 포지션은 식품 B2B 영업의 총체적 업무를 수행하는 역할로, 직수입한 이베리코 외 자사 제품을 판매하기 위해 영업의 새로운 거래처를 물색, 계약, 관리를 담당하며 B2B 영업을 전반적으로 맡아주시며, B2B 세일즈 시스템을 더 나은 방향으로 이끌어가는 직무입니다.

- 시장 트렌드 및 경쟁사 분석을 통한 B2B 영업 전략 수립 및 진행
- 성과 분석 및 주요 지표를 통한 이슈 파악
- 고객사 관리 및 이슈사항 대응
- B2B 세일즈 시스템 구축 및 개선","- B2B 영업 경험 3년 이상 있으신 분
- 커뮤니케이션 능력 우수한 분
- 데이터 기반으로 소통하실 수 있는 분
- 운전 가능한 분",#NAME?
(주)테드스토리,엉파 CS/발주 매니저,"본 포지션은 CS 및 발주 담당자로서 고객의 목소리를 누구보다 빠르게 듣고 문제점이 있으면 빠르게 해결해주는 포지션입니다. 저희는 CS 문의가 많지는 않지만, 고객 한분 한분의 목소리에 경청하고 빠르게 처리하실 수 있는 동료분을 찾고 있습니다.

- 고객 상담 및 문제 해결
- 제품, 배송, 반품, 클레임 등 해결
- 주문 건 입/출고 전산 및 발주 관리
- 제품 생산 입/출고 발주 관리","- CS 직무 관련하여 2년 이상 경험이 있으신 분
- 상대방이 원하는 것을 빠르고 정확하게 이해하고 사려깊게 소통할 수 있는 커뮤니케이션 능력을 갖춘 분
- 고객의 불편에 진심으로 공감하고 고객의 요구사항을 해결해주고자 하는 의지가 높은 분
- 꼼꼼한 성향으로 자료 집계와 정리에 능하고 MS Office 작업이 가능한 분",#NAME?
(주)모먼츠컴퍼니,베트남 이커머스 담당,"? 베트남 쇼피 이커머스 채널 운영
? 연간/월간 행사 기획 및 판매 전략 기획
? 시장 및 경쟁사 판매 현황 분석
? 가격, 재고 관리
? 인플루언서 마케팅","? 베트남어에 능통 하신 분
? 한국 화장품 회사에서 1년 이상 근무 하신 분
(한국어 커뮤니케이션 필수)
? 쇼피 혹은 기타 해외 이커머스 운영 경험","? 영어로 커뮤니케이션이 가능 하신 분
? 인플루언서 마케팅을 경험 해보신 분
? 본인이 인플루언서처럼 활동 하시는 분"
(주)맞추다,CX 매니저 (고객 경험 개선) 및 경영 지원,"Role]
고객의 맞추다에서의 경험을 조사하고 분석하여 맞추다의 방향성에 대한 근거 자료로 만들고 프로덕트 방향성을 제안합니다. 더불어 조직 운영에 필수적인 전반적인 payroll 업무와 정부지원사업 관리를 병행합니다.

[상세]
Main 1. 고객 경험 개선

시장 리서치, 유저 인터뷰, 데이터 분석 등을 통해 유저의 서비스 내 경험을 분석하고, 유저의 고객여정에서 제공해야 할 가치에 대해 고민하고 제안합니다. 이 제안은 맞추다 프로덕트의 방향성에 기여합니다.
- 고객 경험 개선을 위한 리서치, 유저 인터뷰
- 맞추다의 유저들이 활동하는 커뮤니티 운영
- 고객 상담 (카카오톡 관리자 채널)

Main 2. 경영 지원

조직 운영에 필수적인 Payroll 업무와 정부지원사업 관리를 통해 팀의 시간을 확보하고 효율적인 조직 운영을 돕습니다.",#NAME?,"[인재상]
- 커뮤니케이션 스킬이 좋으신 분 (친화력 좋으신분 환영!)
- 성장욕구가 강하신 분
- 솔직한 피드백에 어려움이 없으신 분
- 빠르게 학습하는 분

[경험]
- 유저 인터뷰를 통해 인사이트를 도출해 낸 경험이 있으신 분
- 고객 문의 응대 프로세스 운영 및 개선 경험이 있으신 분
- 정부지원사업, TIPS 등 유관 업무 경험이 있으신 분
- 스타트업 경영지원 및 사무보조 업무 경험이 있으신 분"
(주)맞추다,R&D (생성형 인공지능 활용),"[Role]
Main 1. 팁스 R&D 과제 수행

맞추다는 ‘학습 콘텐츠 생성 및 개인화 학습 플랫폼 개발’이라는 주제로 23년 9월 TIPS에 선정되었습니다. 해당 연구주제에 대한 연구가 Main role 입니다.
LLM을 활용하여 기존에 확보되어있는 학습콘텐츠를 기반으로 새로운 학습 콘텐츠를 만들어내고, 생성된 학습 콘텐츠의 할루시네이션 이슈를 해결하는 것이 연구의 핵심입니다.
＜팁스 선정 기사＞ https://www.mk.co.kr/news/economy/10853624

Main 2. 비즈니스 임팩트를 위한 R&D

맞추다의 타겟 시장인 자격증 학습 시장은 굉장히 레거시하여 기술로 혁신 할 수 있는 부분이 많습니다. 비즈니스 임팩트를 만들 수 있는 지점을 공략하여 기술로 혁신하고 맞추다가 고객 유치를 하기 위한, B2B 세일즈를 하기위한 핵심 수단으로 사용합니다.","문제 해결력
: 주어진 상황과 문제에 대하여 객관적인 파악이 가능하고, 문제 해결과정에서 리소스 파악을 잘 하시는 분

최신 기술 파악 & 습득
: 계속해서 새로운 기술들이 등장하고 빠르게 변화하고 있는 생성형 인공지능 시장에서 최신 기술을 빠르게 파악하고 습득하는 역량 (영어 논문을 읽는데 무리가 없으신 분)

비즈니스 인사이트
:단순한 기술의 구현이 아니라, 구현한 기술이 비즈니스에 미치는 임팩트를 고려할 수 있는 역량","[인재상]
- 문제 풀이에 진심이신 분
- 성장욕구가 강하신 분
- 솔직한 피드백에 어려움이 없으신 분
- 빠르게 학습하는 분

[경험]
- LLM을 활용하여 프로덕트를 제작해보신 경험이 있으신 분
- 개발 뿐만 아니라 비즈니스 사이드에서 고민을 해보신 분"
(주)아이브릭스,웹/앱 프런트엔드 개발자 경력 채용 공고,"ㆍ React를 기반 이용한 신규 웹/앱 개발
ㆍ CMS (Content Management System) 기반의 비즈니스 플랫폼 개발","ㆍ3년 이상 React 기반 웹/앱 개발 경험, 또는 상응하는 모바일 앱 개발 경험이 있는 분
ㆍ외부 라이브러리, API 등 연동 개발 경험을 보유하신 분
ㆍGit을 통한 형상관리 및 Slack, Notion 등 협업 도구 기반으로 유관부서 및 동료와 커뮤니케이션이 원활한 분
ㆍ자료구조, 알고리즘, 디자인 패턴 등에 대한 기본 개념을 이해하는 분","ㆍ앱 배포 경험이 있는 분
ㆍ테스트 자동화 및 테스트 코드 작성 경험이 있는 분
ㆍiOS/Android 네이티브 앱 개발 경험이 있는 분
ㆍApollo GraphQL 경험이 있는 분
ㆍ비디오/오디오 처리 관련 지식 및 기술을 보유하고 있는 분
ㆍ사용자 경험을 개선하는데 필요한 퍼포먼스 개선 및 네트워킹 구현 경험이 있는 분
ㆍFull stack 개발 경험이 있는 분"
이노뎁(주),VMS개발팀 Sever 개발자,"ㆍVurix(자사 영상관제 솔루션) Server 새 기능 개발 및 결함 관리
ㆍ미디어 녹화 및 스트리밍 서비스
ㆍ카메라와 Vurix Server간 Interface driver 개발
ㆍAI 카메라 기능 연동 개발
ㆍVurix와 3rd party 시스템 인터페이스(Rest Full) API 서버 개발
ㆍ수 만대 이상의 카메라 데이터 관리(자산 및 이벤트 등)","ㆍ2~5년차 1명, 6년차 이상 1명
ㆍC++ 개발 경험이 각각 2년, 6년이상 있으신 분
ㆍDB 연동 경험이 있으신 분
ㆍ효과적인 의사전달 및 협업 능력이 있으신 분
ㆍ논리적이고 체계적인 문제해결 능력이 있으신 분","ㆍONVIF profile 개발 경험이 있으신 분
ㆍBoost asio 개발 경험이 있으신 분
ㆍRTSP / HLS / ffmpeg 개발 경험이 있으신 분
ㆍLinux 시스템 숙련자
ㆍNode.js 개발 경험이 있으신 분
ㆍAgile 개발 문화 경험 및 TDD 방법론 경험이 있으신 분"
이노뎁(주),AI서비스 Server 개발자,ㆍ지능형 분석 플랫폼 Backend개발,ㆍ경력 3년 이상,"ㆍBackend개발 경력자
ㆍNodeJS, REST API, DB설계 경험자"
비티맥기네스번지리미티드(영업소),대기업 글로벌 시스템(Web) 운영 담당자,"? 대기업 글로벌 시스템 (Web) 운영 담당
? 시스템 자료 관리 및 업무 지원 업무
? 시스템 프로세스/닷컴 지원, 사용자 교육 (매뉴얼 및 가이드 작성)
? 사용자 권한 관리, 사양관리, 다운로드 관리 등 관리 업무
? 자료 이관/관리 업무
? 기타 운영 업무

? VOC 대응 및 결과 분석
? 사용자 VOC 대응
? 결과 분석 및 레포팅 작업","? 데이터베이스 운영 및 관리 직무 경험
? 프로세스 운영 및 관리 , VOC 대응 직무 경험","? 영어 회화 능통자
? 어드민 시스템 운영 경험자
? 닷컴 컨텐츠 관리 시스템 경험자
? 책임감 강하고 꼼꼼한 성격 소유자
? 신규 업무에 대해 이해 및 습득이 빠른 분"
(주)소프트스퀘어드,콘텐츠 마케터(Contents Marketer),"※ CM이 일하는 팀메이커 팀은 어떤 일을 하나요?

- 고객에게 제공될 개발팀을 매칭하는 역할, 그리고 IT 긱워커 풀을 확장하는 역할을 합니다.
- 커뮤니티에 대한 활성화 전략을 수립합니다. 좋은 IT 문화를 수립하고, 활발한 상호작용으로 스스로 성장해가는 IT 긱워커 커뮤니티를 만듭니다.
- 다양한 이벤트를 기획해 개발자들이 일하고 싶은 환경을 제안합니다.
- 이벤트 참고
- https://youtu.be/Ty500wApMEA?si=wKlO2U-KfCTXfIJA
- https://youtu.be/v4dbPi3SUuQ?si=8WVPMUjtAA7vpy71
- https://demoday.neordinary.co.kr/

주요 업무
※ CM은 어떤 일을 하나요?

- 사이드잡, 프리랜서를 희망하는 분들을 위한 마케팅 콘텐츠 제작의 전반적인 프로세스를 수행
- 그릿지의 외주 프로세스 및 IT 커뮤니티 전반에 대한 이해를 바탕으로 콘텐츠를 기획 및 제작
- 유튜브 채널 2만 구독자 컴공선배의 콘텐츠 기획 및 운영
- 마케팅 전략에 기반한 고객 의뢰 프로젝트를 긱워커들 대상으로 프로모션 기획
- 발행 콘텐츠 별 결과 지표 분석 및 인사이트 도출","자격요건
※ 이런 분을 찾고있어요!

- 애자일 프로세스를 이해하고 계신 분
- 자율과 책임을 전제로 스스로 해야 할 일을 계획하고 실행할 줄 아는 분
- 새로운 흐름을 만들고 싶은 에너지가 넘치는 분
- Premiere Pro tool을 무리없이 사용 하실 수 있는 분
- 기본 디자인 툴(포토샵, 일러스트 등) 간단하게 사용 가능하신 분
- 스토리텔링을 좋아하고 컨셉을 기획하는 일에 적극적이신 분
- 다양한 콘텐츠/행사 기획 및 제작, SNS를 통한 캠페인/이벤트 경험 보유하신 분
- 이해관계자들과의 조율이 어렵지 않은 분","우대사항
※ 이런 분이라면 더 안성맞춤이랍니다!

- IT 산업에 유사한 직종에 종사하셨거나 혹은 관련 인사이트를 갖고 계신 분
- 스타트업 문화에 관심이 많고 회사와 개인이 함께 성장하고 싶으신 분
- 콘텐츠를 통하여 매출 성장을 이끈 경험이 있는 분
- 트렌드/문화/패션/라이프스타일 등 다양한 영역에 대한 호기심이 넘치시는 분
- 마케팅 커리어를 시작했지만, 다양한 활동들에 욕심있는 분"
(주)더스크랙,실력있는 기업에서 함께 성장할 MD,"? 헬스 제품 소싱 및 시장조사
? 오픈마켓, 종합몰, 폐쇄몰, 소셜 등 온라인 영업기획 및 관리
? 각 채널 별 매출 및 영업이익 관리
? 매출 관리 및 ROAS 분석","? 온라인 MD (외부몰) 제품 입점 및 관리경험이 있으신 분
※ 오픈마켓, 종합몰, 폐쇄몰, 전문몰, 소셜 등","? 엑셀 고급 사용 가능자
? 온라인 DA/SA 광고 컨텐츠 기획 및 집행
※ 네이버, 쿠팡, 카카오, 유튜브, 지마켓, 11번가, 오늘의집 등)
? 사방넷(쇼핑몰 솔루션) 경험자
? 운동에 진심이신분"
(주)에이비일팔공,Backend Engineer - Patform,"가져가시게 될 경험

기술적 경험
? 다양한 요구사항을 분석하여 높은 재사용성과 내결함성을 가진 코드 설계 경험
? 도메인에 Ownership을 가지고 높은 기술 수준을 스스로 제시하고 만들어가는 경험
? 비즈니스 로직 추가와 변경시 Data Driven으로 의사 결정하는 경험
? Monorepo를 기반으로 EKS 환경에서 기민하게 개발해볼 수 있는 경험

비즈니스적 경험
? 규모가 큰 디지털 광고 시장에서 '성과 측정'이라는 주요한 과제를 해결하는 경험
? 소프트웨어 자체를 제품으로(SaaS) 만드는 경험
? 글로벌 광고 파트너와 협업하는 경험

주요 업무
? 광고 생태계에서의 프라이버시 시대 흐름에 발맞추어 새로운 광고 성과 측정 방법에 대한 머신러닝 모델을 이해하고 리서치 팀 및 프로덕트 팀과 함께 고객에게 가치를 전달하는 제품을 만듭니다.
? 데이터 과학 시스템을 통합하고 고객이 사용할 수 있도록 API를 제공합니다.
? 데이터 파이프라인 아키텍쳐를 이해하고 개발 용이성과 비용을 고려하여 최적화합니다.
? 고객이 제품을 쉽게 사용할 수 있도록 백엔드 시스템을 구축합니다.
? 주요 기술: Python, Flask, FastAPI, MySQL, DynamoDB, Airflow, Docker, Streamlit, ML, Terraform, AWS","팀의 기술
? Python(Flask), Kotlin (Spring)을 활용한 API 개발
? EKS, Lambda, RDS, SQS 등 다양한 AWS 서비스를 이용한 확장가능하고 안정적인 서비스 운영
? Unit Test, E2E Test 등 코드 및 운영 환경에 대한 테스트 구축
? 개발부터 테스트, 배포까지 자동화된 CI/CD 환경에서 개발

자격 요건
? 3년 내외의 백엔드 개발 경력, 또는 그에 준하는 역량을 가지신 분
? Flask, FastAPI, Spring과 같은 framework를 이용한 백엔드 개발 경험이 있으신 분
? 테스트 코드 작성 경험이 있으신 분
? 고객이 존재하는 서비스의 백엔드 개발 및 운영 경험, 혹은 그에 준하는 경험이 있으신 분","? 정량적 혹은 통계적 방법의 데이터 분석에 대한 높은 이해 수준
? 마케팅 데이터를 기반으로 작업을 한 경험
? 작고 빠르게 변화하는 조직에서 고객 중심의 사고를 가지고 문제를 해결한 경험"
(주)아이브,광학 엔지니어,"? 머신비전 기반으로 제품 불량 검사를 위한 카메라/렌즈/조명 선정 및 응용
? 광학시스템 개발 및 개선
? 광학시스템 제작
? 광학시스템 현장 적용 및 검토
? 검사 장비 검증 및 테스트",? 5년 이상의 경력이 있으신 분,"? 머신비전 광학 솔루션 개발 경험자
? 머신비전 광학 시스템 개발 및 사양 선정 관리 경험자
? 고해상도 카메라 / 라인스캔 카메라 경험자"
(주)아이투맥스,Business Analyst(3년 이상),"- Digital Transformation, PI(프로세스 혁신) 컨설팅 프로젝트 수행
- AS-IS / To-Be Process 정의 및 비즈니스 요구사항 도출
- 세일즈포스 기반 DX 프로젝트에서 Business Analyst 역할 수행",#NAME?,#NAME?
(주)넥스트챕터,Contents Editor / Copywriter,"More about this job

넥스트챕터의 콘텐츠 에디터는 소비자에 대한 깊은 이해를 기반으로, 넥스트챕터가 인수하여 운영하는 브랜드의 커뮤니케이션을 담당합니다.

본 포지션은 Marketing 팀 소속으로, 넥스트챕터 브랜드의 탁월한 제품들을 매력적인 글과 비주얼로 기획하여 고객여정의 시작을 여는 업무를 담당합니다. 기획에서 출발하여 실제 콘텐츠의 제작 및 카피라이팅 이르기까지 전반적 업무를 수행하며, 이 과정에서 소비자의 마음을 움직일 수 있는 콘텐츠가 무엇인지를 데이터에 기반하여 끊임없이 찾아갑니다. 브랜드와 제품에 대한 이해를 바탕으로 각 제품의 USP를 매력적인 스토리텔링과 비주얼로 만들어 소개하며 다양한 팀원들과의 협업으로 브랜드를 성장시킬 수 있는 분과 함께하고 싶습니다.

본 포지션은 콘텐츠 마케터 및 다양한 부서와 협업하여 브랜드의 성장에 기여합니다. 전반적인 브랜드 관리를 지휘하는 Brand Management 팀과, 실제 콘텐츠를 촬영하고 디자인하는 Design Team, 날카로운 USP를 기반으로 상품을 만들어가는 Product Management 팀과 협업을 통해 각 팀의 결과물들이 최고의 커뮤니케이션으로 고객에게 전달되도록 합니다.

글로벌 최고의 소비재 회사 Kimberly-Clark를 비롯하여 Google, 와이즐리 출신 브랜드 매니저, 엑싯 경험을 가진 연쇄창업가 등 업계 최고의 인재들로 구성된 넥스트챕터의 Brand Management 팀에서 누구보다 빠르게 성장하실 분을 찾습니다.


Responsibilities
- 소비자 이해에 기반한 브랜드 커뮤니케이션을 기획하고 실행합니다.
- 자사몰 및 마켓플레이스용 제품 상세페이지 기획 및 카피라이팅을 수행합니다.
- 제품 상세페이지에 삽입할 비주얼 콘텐츠(이미지와 영상)를 기획합니다.
- A/B 테스팅을 통해 더 효과적인 소재와 카피를 개발합니다.
- 유관부서 및 외부 파트너와 협업하여 완성도 높은 콘텐츠를 제작합니다.","Qualifications
- 1년 이상의 콘텐츠 기획/에디터 경력 (※포트폴리오 제출 필수)
- 온라인 상세페이지 기획 및 콘텐츠 제작 핸들링 경험
- 제품 USP에 기반한 콘텐츠 구조와 차별화된 메시지 도출 역량
- 브랜드와 제품 매력도 강화에 효과적인 비주얼 기획 및 카피라이팅 역량
- 다양한 이해관계자와의 협업을 주도하며 명료한 커뮤니케이션이 가능하신 분
- 사람의 마음을 움직이는 스토리텔링 기술과 논리적인 글 작성 능력
- 소비재 브랜드 혹은 이커머스 콘텐츠 유관 업무 경험


Nice to have
- 네이버 쇼핑, 쿠팡 등 주요 마켓플레이스 관련 경험
- 반려동물, 리빙, 라이프스타일, 뷰티 등 다양한 카테고리 경험
- 사진과 영상 콘텐츠에 대한 높은 이해도를 갖춘 분
- 마케팅, 디자인 등 다양한 조직과 협업 경험이 있는 분
- 콘텐츠 크리에이터로서 개인 블로그, SNS 등을 꾸준히 운영해 본 경험이 있는 분
- 인하우스, 대행사, 언론사에서 콘텐츠 마케터 또는 에디터 근무 경력이 있는 분
- 온/오프라인 콘텐츠 기획 및 제작 경험, 촬영 진행에 대한 경험이 있으신 분
- 콘텐츠 기획/제작 시 AI를 효과적으로 활용할 수 있는 역량",
