section-summary,section-stack
프론트엔드,"['JavaScript', 'HTML', 'Vue.js', 'ES6', 'TypeScript', 'Python', 'Node.js', 'Webpack', 'gulp']"
"서버/백엔드,웹풀스택,안드로이드앱","['PHP', 'MySQL', 'JavaScript']"
"서버/백엔드,웹풀스택,블록체인","['Ruby on Rails', 'Vue.js', 'MySQL', 'Aurora DB', 'AWS ElasticBeanstalk', 'JavaScript', 'Sass(SCSS)', 'Ruby', 'GitHub']"
서버/백엔드,"['JavaScript', 'TypeScript', 'AWS Lambda', 'AWS DynamoDB', 'Microservice Architecture', 'AWS RDS', 'Node.js']"
"프론트엔드,웹풀스택","['ReactJS', 'Angular', 'Vue.js', 'Mocha', 'Jest', 'TypeScript']"
아이폰앱,"['Objective-C', 'iOS', 'Swift']"
"서버/백엔드,프론트엔드","['Java', 'Spring', 'JSP', 'MySQL', 'MSSQL(Microsoft SQL Server)', 'Oracle']"
블록체인,"['Docker', 'Ubuntu', 'Azure Linux Virtual Machines', 'Node.js']"
프론트엔드,"['JavaScript', 'HTML', 'CSS', 'React Native']"
프론트엔드,"['HTML', 'CSS', 'JavaScript', 'Node.js']"
서버/백엔드,"['Java', 'Spring', 'MySQL']"
서버/백엔드,"['PHP', 'Laravel', 'MySQL']"
서버/백엔드,"['Java', 'Spring', 'Spring Cloud', 'MySQL']"
서버/백엔드,"['Java', 'Spring', 'MySQL', 'Oracle']"
"서버/백엔드,웹풀스택,응용프로그램","['Java', 'Oracle', 'Spring', 'MySQL', 'JSP']"
"서버/백엔드,프론트엔드,웹풀스택","['JavaScript', 'Ruby on Rails', 'Ruby']"
"서버/백엔드,프론트엔드,웹풀스택","['JavaScript', 'Ruby on Rails', 'Ruby']"
"서버/백엔드,시스템/네트워크,시스템소프트웨어","['MySQL', 'Linux', 'Docker']"
"서버/백엔드,시스템/네트워크,시스템소프트웨어","['Docker', 'Linux', 'MySQL']"
"서버/백엔드,데이터엔지니어,시스템/네트워크","['MySQL', 'Docker', 'Linux']"
"서버/백엔드,데이터엔지니어,시스템/네트워크","['Linux', 'Amazon Web Services(AWS)', 'Python']"
"서버/백엔드,프론트엔드,웹풀스택","['REST API', 'PHP', 'Laravel', 'CodeIgniter', 'Vue.js']"
"서버/백엔드,웹풀스택,QA","['CI/CD', 'Java', 'Node.js', 'PHP', 'NoSQL', 'Git']"
서버/백엔드,"['Java', 'REST API', 'Spring', 'Gradle', 'GitHub', 'Amazon Web Services(AWS)', 'Jenkins', 'Bamboo', 'OpenStack', 'Linux']"
프론트엔드,"['Bootstrap', 'JavaScript', 'jQuery', 'CSS', 'HTML', 'Angular']"
"서버/백엔드,프론트엔드","['Vue.js', 'Node.js', 'Responsive Web']"
"서버/백엔드,웹풀스택","['AWS EC2', 'Python', 'Django']"
데이터엔지니어,"['Python', 'MySQL', 'AWS DynamoDB']"
"데이터엔지니어,시스템소프트웨어",['Shell']
"프론트엔드,모바일게임,블록체인","['Vue.js', 'Vuex', 'Node.js', 'Axios', 'web3.js', 'Webpack', 'MongoDB']"
"서버/백엔드,블록체인",['Node.js']
"서버/백엔드,프론트엔드,블록체인","['Node.js', 'React Native', 'Python']"
머신러닝,"['Python', 'Machine Learning', 'Deep Learning']"
"서버/백엔드,프론트엔드,웹풀스택","['JavaScript', 'Angular', 'Spring Boot', 'ES6', 'Java', 'Ionic']"
"서버/백엔드,안드로이드앱,아이폰앱","['PHP', 'ASP', '.NET']"
안드로이드앱,['Java']
아이폰앱,['Swift']
"서버/백엔드,프론트엔드","['MySQL', 'PHP', 'Python']"
"서버/백엔드,시스템/네트워크","['Java', 'Amazon Web Services(AWS)', 'Spring']"
"프론트엔드,안드로이드앱,아이폰앱","['jQuery', 'JavaScript', 'HTML', 'CSS']"
프론트엔드,"['HTML', 'CSS', 'JavaScript', 'WordPress', 'Ruby on Rails', 'ReactJS', 'Vue.js', 'AngularJS', 'Webpack', 'Grunt', 'gulp', 'Sass(SCSS)', 'Git']"
"안드로이드앱,아이폰앱","['Java', 'MVVM(Model-View-ViewModel)', 'MVC', 'MySQL', 'Android', 'Git']"
안드로이드앱,"['Android', 'Kotlin', 'Java', 'Git']"
"서버/백엔드,웹풀스택","['Java', 'Spring', 'Amazon Web Services(AWS)']"
"서버/백엔드,블록체인","['Blockchain', 'Amazon Web Services(AWS)']"
"프론트엔드,웹풀스택,QA","['ReactJS', 'JavaScript', 'React Native']"
"시스템소프트웨어,응용프로그램","['Linux', 'Python', 'MySQL']"
"서버/백엔드,프론트엔드,안드로이드앱","['Java', 'Gradle', 'Vue.js', 'Python', 'Django', 'Go']"
"서버/백엔드,프론트엔드,웹풀스택",['PHP']
데이터엔지니어,"['R', 'Python', 'SQL']"
"게임클라이언트,사물인터넷(IoT)","['Unity', 'Arduino', 'Raspberry Pi']"
"서버/백엔드,시스템소프트웨어,사물인터넷(IoT)","['C', 'Linux kernel', 'Embedded System']"
"프론트엔드,웹풀스택","['JavaScript', 'ReactJS', 'HTML', 'Vue CLI', 'Angular', 'CSS', 'Node.js', 'Google Cloud Firestore', 'Google Cloud Platform']"
아이폰앱,"['RxSwift', 'Swift']"
"서버/백엔드,웹풀스택,인공지능(AI)","['Node.js', 'Java', 'Python', 'Ruby', 'JavaScript', 'HTML', 'CSS', 'Google Cloud Natural Language', 'NLP', 'Machine Learning', 'Google Dialogflow']"
프론트엔드,"['Swift', 'RxSwift', 'JavaScript', 'React Native', 'Firebase']"
"서버/백엔드,모바일게임,시스템/네트워크","['Python', 'Node.js', 'Amazon Web Services(AWS)', 'REST API', 'NoSQL', 'MySQL']"
"프론트엔드,웹풀스택,모바일게임","['Node.js', 'JavaScript', 'ReactJS', 'HTML']"
응용프로그램,"['C++', 'Qt']"
"안드로이드앱,머신러닝,인공지능(AI)",['Python']
"프론트엔드,응용프로그램","['Java', 'Python']"
"서버/백엔드,프론트엔드,응용프로그램","['JavaScript', 'ThreeJS', 'WebGL', 'REST API', 'HTML', 'CSS', 'Canvas', 'ReactJS']"
"모바일게임,게임클라이언트","['Unity', 'C#', 'iOS', 'Android']"
"서버/백엔드,프론트엔드,블록체인","['ReactJS', 'React Native', 'Django', 'Node.js', 'Ruby on Rails', 'ExpressJS', 'GCP(Google Cloud Platform)']"
"프론트엔드,웹풀스택,안드로이드앱","['MySQL', 'JavaScript', 'HTML']"
"웹풀스택,안드로이드앱,아이폰앱","['Ruby on Rails', 'Spring', 'REST API']"
"서버/백엔드,데이터엔지니어,응용프로그램","['SQL', 'C#', 'Java']"
"프론트엔드,안드로이드앱,데이터엔지니어","['JSP', 'Java', 'Objective-C', 'Swift']"
서버/백엔드,"['Node.js', 'MySQL', 'AWS S3', 'CSS', 'JavaScript', 'Java', 'HTML5']"
"프론트엔드,안드로이드앱,아이폰앱","['Vue.js', 'MySQL', 'Ionic', 'JavaScript', 'JSP', 'PHP', 'Python', 'R', 'Tensorflow', 'Android', 'Swift']"
프론트엔드,"['HTML', 'CSS', 'JavaScript']"
아이폰앱,"['iOS', 'Swift']"
안드로이드앱,"['Android', 'Git', 'Java', 'C']"
"안드로이드앱,시스템/네트워크,응용프로그램","['Java', 'C', 'C++']"
프론트엔드,"['Vue.js', 'HTML', 'JavaScript']"
웹풀스택,"['ES6', 'HTML5', 'Less.js', 'TypeScript', 'Angular', 'Google Cloud Platform', 'MySQL', 'Python']"
프론트엔드,"['Ionic', 'Apache Cordova', 'OOP', 'JavaScript', 'Vue.js', 'React Native', 'Database', 'Angular', 'HTML5']"
"프론트엔드,안드로이드앱,아이폰앱","['Swift', 'Kotlin', 'Amazon Web Services(AWS)', 'RxKotlin', 'RxSwift', 'Dependency Lookup']"
프론트엔드,"['ReactJS', 'JavaScript', 'HTML5', 'CSS', 'Git']"
서버/백엔드,"['Google Cloud Platform', 'Firebase', 'NoSQL', 'Git', 'GraphQL', 'Node.js', 'REST API', 'Ubuntu']"
아이폰앱,"['iOS', 'REST API', 'Git', 'Swift', 'i18n']"
프론트엔드,"['JavaScript', 'jQuery', 'Node.js', 'Ajax']"
"서버/백엔드,프론트엔드,웹풀스택","['Java', 'MongoDB', '.NET']"
"프론트엔드,안드로이드앱,응용프로그램","['JIRA', 'Clean Architecture', 'GitHub', 'Git', 'MVVM(Model-View-ViewModel)', 'React Native', 'RxJava', 'Android', 'Kotlin']"
아이폰앱,"['iOS', 'Swift', 'Objective-C']"
서버/백엔드,"['Python', 'Django']"
안드로이드앱,"['Android', 'Kotlin', 'Java']"
"안드로이드앱,아이폰앱","['iOS', 'Android', 'Swift', 'Java', 'Objective-C', 'Kotlin']"
웹풀스택,"['ASP.NET', 'Entity Framework', 'MSSQL(Microsoft SQL Server)']"
"서버/백엔드,게임서버","['Node.js', 'MySQL', 'Amazon Web Services(AWS)', 'Git', 'GitHub', 'AWS DynamoDB', 'Redis', 'PHP', 'MongoDB', 'NoSQL', 'Linux']"
"안드로이드앱,아이폰앱,게임클라이언트","['C++', 'JavaScript', 'Cocos2d', 'OpenGL', 'WebGL']"
"서버/백엔드,블록체인","['Python', 'Django', 'Linux', 'MySQL', 'Redis']"
"서버/백엔드,웹풀스택","['Python', 'Django', 'DRF(Django REST framework)']"
프론트엔드,"['ReactJS', 'ES6', 'HTML5', 'CSS', 'Git']"
"서버/백엔드,시스템/네트워크","['Redis', 'Docker', 'Git', 'AWS EKS', 'Kubernetes', 'Python', 'AWS Lambda', 'AWS EC2', 'Terraform', 'CI/CD']"
웹풀스택,"['Ruby on Rails', 'HTML5', 'CSS', 'GitHub', 'AWS EC2']"
안드로이드앱,"['Kotlin', 'Android', 'Java', 'RxJava', 'Realm']"
프론트엔드,"['React Native', 'HTML', 'CSS', 'JavaScript', 'GitHub', 'Bootstrap', 'AngularJS']"
"서버/백엔드,응용프로그램","['Node.js', 'Flask', 'Python', 'Django', 'REST API']"
"프론트엔드,응용프로그램","['JavaScript', 'jQuery', 'AngularJS']"
"안드로이드앱,응용프로그램","['Android', 'Kotlin', 'RxJava']"
"시스템/네트워크,데브옵스","['MySQL', 'Terraform', 'Python']"
QA,"['Espresso.js', 'Appium', 'Selenium']"
"서버/백엔드,프론트엔드,웹풀스택","['Django', 'Python', 'Git']"
"프론트엔드,웹풀스택","['Vue.js', 'HTML', 'JavaScript']"
"프론트엔드,웹풀스택","['Python', 'Django', 'Amazon Web Services(AWS)']"
"머신러닝,인공지능(AI)","['Tensorflow', 'PyTorch', 'Python']"
"서버/백엔드,웹풀스택","['Python', 'Django', 'JavaScript', 'ReactJS']"
"서버/백엔드,프론트엔드,게임클라이언트","['Git', 'C#', 'Unity']"
"서버/백엔드,프론트엔드,웹풀스택","['HTML5', 'JavaScript', 'Git', 'REST API', 'Laravel', 'CSS', 'PHP', 'MySQL', 'jQuery']"
서버/백엔드,"['Java', 'JPA(Java Persistent API)', 'Elasticsearch', 'Apache Kafka']"
"서버/백엔드,프론트엔드","['C', 'Docker']"
"머신러닝,인공지능(AI),데이터엔지니어","['SQL', 'NLP', 'Python', 'Java']"
"시스템/네트워크,인터넷보안,응용프로그램","['C', 'Java', 'MySQL']"
"머신러닝,인공지능(AI),데이터엔지니어","['Machine Learning', 'Data Analysys']"
"서버/백엔드,시스템/네트워크","['C', 'C++']"
프론트엔드,"['JavaScript', 'HTML5', 'Node.js', 'CSS', 'ReactJS', 'React Native']"
서버/백엔드,"['Spring', 'Java', 'Spring Boot', 'MyBatis', 'MySQL', 'Linux', 'REST API', 'Oracle']"
"시스템/네트워크,시스템소프트웨어","['Windows kernel', 'C#', 'C', 'C++']"
"서버/백엔드,프론트엔드,웹풀스택","['Linux', 'Git', 'PostgreSQL', 'React Native', 'ReactJS', 'Node.js', 'JavaScript']"
서버/백엔드,"['.NET', 'C#', 'Azure', 'Python', 'Node.js', 'Ruby']"
프론트엔드,"['Redux-Saga', 'Electron', 'ReactJS', 'jQuery', 'HTML5', 'JavaScript']"
프론트엔드,"['CSS', 'Angular', 'HTML', 'JavaScript', 'jQuery']"
"서버/백엔드,프론트엔드,웹풀스택","['Python', 'Spring', 'Java', 'CSS', 'HTML', 'JavaScript']"
"서버/백엔드,프론트엔드,웹풀스택","['Java', 'Spring', 'AWS DynamoDB', 'JavaScript', 'HTML']"
프론트엔드,"['Webpack', 'ES6', 'Vue.js', 'ReactJS', 'jQuery', 'CSS', 'HTML', 'JavaScript']"
서버/백엔드,"['Node.js', 'Spring', 'Java', 'Git', 'Redis', 'MySQL']"
"서버/백엔드,데이터엔지니어,응용프로그램","['Nginx', 'Apache', 'AWS Backup', 'Python', 'Django', 'Node.js', 'ExpressJS']"
"서버/백엔드,게임클라이언트,게임서버","['Spring', 'Java', 'MySQL', 'mSQL', 'Linux', 'MariaDB']"
"서버/백엔드,프론트엔드,응용프로그램","['C++', 'C#', 'Java']"
안드로이드앱,"['Kotlin', 'Android', 'Gradle']"
"프론트엔드,웹풀스택","['Python', 'MySQL', 'CSS', 'HTML']"
"프론트엔드,안드로이드앱,아이폰앱","['ReactJS', 'Vue.js', 'React Native', 'TypeScript', 'JavaScript']"
"시스템/네트워크,시스템소프트웨어","['AWS EC2', 'AWS RDS', 'Docker', 'CI/CD', 'Kubernetes', 'Linux', 'Python', 'Java', 'Go', 'MySQL', 'Elasticsearch', 'Apache Kafka']"
"서버/백엔드,시스템/네트워크","['Kotlin', 'Java', 'Spring', 'Python']"
웹풀스택,"['GraphQL', 'Redux-Saga', 'Node.js']"
"서버/백엔드,프론트엔드,웹풀스택","['Node.js', 'Vue.js', 'MySQL']"
"서버/백엔드,프론트엔드,웹풀스택","['Python', 'Ruby', 'Go', 'Node.js', 'Ruby on Rails', 'Django']"
"프론트엔드,안드로이드앱,아이폰앱","['React Native', 'Kotlin', 'Objective-C']"
프론트엔드,"['Sketch', 'InVision', 'Webpack', 'Babel']"
"프론트엔드,안드로이드앱,아이폰앱","['Sketch', 'Adobe Photoshop']"
"서버/백엔드,웹풀스택","['Ruby', 'Python', 'Go', 'Node.js']"
데이터엔지니어,"['PostgreSQL', 'Python']"
프론트엔드,"['React Native', 'ReactJS', 'Redux.js']"
서버/백엔드,"['Node.js', 'Python']"
응용프로그램,"['C#', 'MSSQL(Microsoft SQL Server)', 'C']"
"머신러닝,인공지능(AI),시스템소프트웨어","['Tensorflow', 'PyTorch', 'Python']"
"서버/백엔드,웹풀스택,시스템소프트웨어","['Python', 'Django', 'JavaScript', 'ReactJS']"
"서버/백엔드,프론트엔드,웹풀스택","['Node.js', 'ExpressJS', 'NestJS', 'PKI(Public key infrastructure)', 'Database', 'AWS S3']"
"프론트엔드,웹풀스택,아이폰앱","['Vue.js', 'ReactJS', 'CSS', 'HTML']"
서버/백엔드,"['Python', 'Django', 'AWS EC2', 'AWS RDS']"
서버/백엔드,"['Java', 'Spring', 'MyBatis', 'MySQL', 'Apache Tomcat']"
서버/백엔드,"['Java', 'Spring', 'MyBatis', 'MySQL', 'Apache Tomcat']"
"서버/백엔드,모바일게임","['Python', 'C++', 'C#', 'MySQL']"
아이폰앱,['iOS']
"서버/백엔드,프론트엔드,웹풀스택","['Java', 'Node.js', 'JavaScript', 'Webpack', 'MySQL', 'Redis']"
"서버/백엔드,프론트엔드,웹풀스택","['Spring', 'Java', 'JavaScript', 'MySQL']"
"서버/백엔드,프론트엔드","['Python', 'Django', 'Git', 'MySQL', 'Docker', 'Redis', 'jQuery', 'CSS', 'HTML', 'JavaScript']"
서버/백엔드,"['Python', 'Docker', 'Flask']"
프론트엔드,"['JavaScript', 'ES6', 'Vue.js', 'CSS', 'Sass(SCSS)', '.NET', 'C#']"
서버/백엔드,"['.NET', 'C#', 'Linux', 'Docker', 'Amazon Web Services(AWS)']"
프론트엔드,"['JavaScript', 'ES6', 'Vue.js', 'CSS', 'Sass(SCSS)', '.NET', 'C#']"
데이터엔지니어,"['Linux', 'Apache Spark', 'Python', 'SQL']"
아이폰앱,"['iOS', 'Swift']"
서버/백엔드,"['Java', 'MySQL']"
"서버/백엔드,프론트엔드,블록체인","['GCP(Google Cloud Platform)', 'ExpressJS', 'Node.js', 'Django', 'React Native', 'ReactJS']"
"서버/백엔드,웹풀스택,시스템/네트워크","['MySQL', 'PHP', 'Node.js', 'JavaScript', 'HTML', 'jQuery', 'AngularJS', 'AWS EC2', 'Python']"
"프론트엔드,머신러닝,인공지능(AI)","['Tensorflow', 'Python', 'PyTorch', 'Docker']"
"프론트엔드,응용프로그램","['HTML', 'CSS', 'JavaScript']"
"프론트엔드,응용프로그램","['HTML', 'CSS', 'JavaScript', 'ReactJS', 'Redux.js']"
서버/백엔드,"['Java', 'Spring']"
서버/백엔드,"['Java', 'Spring', 'Spring Boot']"
프론트엔드,"['HTML', 'CSS', 'JavaScript']"
"안드로이드앱,시스템소프트웨어,응용프로그램","['Android', 'Java', 'C#', 'Oracle', 'CSS', 'ASP.NET']"
서버/백엔드,"['Java', 'Spring', 'Spring Boot']"
"프론트엔드,웹풀스택","['Spring', 'jQuery', 'Java']"
"서버/백엔드,시스템/네트워크,시스템소프트웨어","['Python', 'Docker', 'PHP', 'Git', 'Redis', 'MySQL', 'Linux', 'JavaScript']"
프론트엔드,"['JavaScript', 'TypeScript', 'MongoDB', 'Node.js', 'HTML', 'REST API', 'Git', 'CSS']"
서버/백엔드,"['TypeScript', 'Node.js', 'HTML', 'Git', 'C#', 'MongoDB', 'AWS S3']"
서버/백엔드,"['Spring', 'Java']"
"서버/백엔드,프론트엔드,웹풀스택","['Redux-Saga', 'TypeScript', 'REST API', 'ReactJS', 'Redux.js']"
"서버/백엔드,프론트엔드,웹풀스택","['Django', 'REST API', 'Python', 'Amazon Web Services(AWS)']"
"안드로이드앱,아이폰앱,시스템소프트웨어","['Android', 'Kotlin', 'REST API']"
"서버/백엔드,프론트엔드,웹풀스택","['Django', 'REST API', 'Python', 'AWS ElasticBeanstalk', 'MySQL', 'Redis']"
"서버/백엔드,프론트엔드,웹풀스택","['Node.js', 'GraphQL', 'Next.js', 'TypeScript', 'Elasticsearch', 'MySQL']"
"서버/백엔드,프론트엔드,웹풀스택","['Next.js', 'GraphQL', 'TypeScript']"
"서버/백엔드,프론트엔드,웹풀스택","['GraphQL', 'Node.js', 'TypeScript', 'Amazon Web Services(AWS)', 'AWS ElasticBeanstalk', 'Elasticsearch', 'MySQL']"
"프론트엔드,웹풀스택","['Git', 'Angular', 'TypeScript', 'ReactJS', 'REST API', 'HTML', 'CSS', 'Python']"
프론트엔드,"['HTML', 'CSS', 'JavaScript', 'ReactJS', 'Vue.js', 'AngularJS']"
"웹풀스택,머신러닝,인공지능(AI)","['ReactJS', 'NLP', 'Node.js', 'Tensorflow', 'JavaScript']"
아이폰앱,['iOS']
프론트엔드,"['ES6', 'Webpack', 'ReactJS', 'Node.js', 'CSS', 'HTML', 'JavaScript']"
서버/백엔드,"['MVC', 'Spring', 'MySQL', 'Java']"
"프론트엔드,안드로이드앱,사물인터넷(IoT)","['Android', 'Java', 'Kotlin', 'RxJava', 'Gradle']"
서버/백엔드,"['Java', 'Spring', 'MySQL']"
프론트엔드,"['HTML', 'JavaScript', 'ReactJS', 'Node.js', 'CSS', 'Webpack']"
"인공지능(AI),데이터엔지니어","['Java', 'Python', 'Go', 'Scala', 'NoSQL', 'Docker', 'Elasticsearch', 'Big Data']"
"머신러닝,인공지능(AI),데이터엔지니어","['Data Analysys', 'Big Data', 'Database', 'PostgreSQL', 'Python', 'SQL']"
"웹풀스택,아이폰앱","['iOS', 'Swift']"
안드로이드앱,"['Kotlin', 'Android']"
"머신러닝,인공지능(AI)","['Python', 'C++']"
"서버/백엔드,프론트엔드,웹풀스택","['Python', 'Ruby', 'React Native', 'ReactJS', 'Node.js', 'Go']"
"서버/백엔드,프론트엔드,웹풀스택","['Python', 'Ruby', 'Go', 'Node.js', 'Ruby on Rails', 'Django']"
"프론트엔드,안드로이드앱,아이폰앱","['Python', 'React Native', 'Redux.js']"
"프론트엔드,웹풀스택,아이폰앱","['Python', 'React Native', 'ReactJS', 'Webpack', 'Babel', 'Kotlin', 'Objective-C']"
"서버/백엔드,웹풀스택,블록체인","['Python', 'Ruby', 'Ruby on Rails', 'Go', 'Node.js', 'NoSQL', 'Linux', 'Docker']"
서버/백엔드,"['Spring', 'Jenkins', 'Kubernetes', 'Java']"
"머신러닝,인공지능(AI)","['C++', 'Python']"
"머신러닝,데이터엔지니어,사물인터넷(IoT)","['SQL', 'Python', 'Machine Vision']"
"머신러닝,인공지능(AI)","['Keras', 'Tensorflow', 'OpenCV', 'Scikit-Learn', 'Raspberry Pi', 'Arduino']"
"안드로이드앱,아이폰앱","['Android', 'iOS']"
"안드로이드앱,아이폰앱","['Android', 'iOS']"
"프론트엔드,웹풀스택,사물인터넷(IoT)","['React Native', 'Webpack', 'ReactJS', 'GraphQL', 'TypeScript', 'Babel', 'Redux-Saga', 'Redux.js']"
프론트엔드,"['Redux-Saga', 'Redux-Observable', 'RxJS', 'Redux.js', 'Git', 'styled-components', 'TypeScript', 'ReactJS', 'JavaScript']"
"서버/백엔드,데이터엔지니어,사물인터넷(IoT)","['Apache Aurora', 'Kops', 'Kubernetes', 'Apache Spark', 'Apache Kafka', 'Apache Storm', 'Apache HBase', 'Apache Hadoop', 'TypeScript', 'Linux', 'Ruby on Rails', 'MVC', 'Java', 'Scala', 'Kotlin', 'JavaScript', 'ES6', 'REST API']"
서버/백엔드,"['PHP', 'MySQL', 'Redis', 'Node.js', 'Git', 'Java', 'Python']"
"프론트엔드,안드로이드앱,아이폰앱","['AngularJS', 'JavaScript', 'Ionic']"
웹풀스택,"['Python', 'Node.js', 'jQuery', 'Bootstrap']"
데이터엔지니어,"['Python', 'PostgreSQL']"
서버/백엔드,"['Java', 'Gradle', 'Apache Tomcat']"
아이폰앱,"['iOS', 'Swift', 'Objective-C']"
프론트엔드,"['AngularJS', 'ReactJS', 'Vue.js', 'CSS', 'HTML', 'JavaScript']"
안드로이드앱,"['Android', 'Kotlin', 'Java', 'Gradle', 'Google Cloud SDK', 'SQLite', 'RxJava', 'MongoDB']"
프론트엔드,"['CSS3', 'HTML5', 'JavaScript']"
"프론트엔드,웹풀스택","['MySQL', 'PostgreSQL', 'Django', 'Python']"
"프론트엔드,웹풀스택","['ReactJS', 'Node.js', 'JavaScript']"
"안드로이드앱,아이폰앱","['Objective-C', 'Swift', 'iOS']"
서버/백엔드,"['AWS EC2', 'SQL', 'Python', 'Docker']"
"머신러닝,데이터엔지니어","['Data Analysys', 'Machine Learning', 'Tensorflow', 'Big Data']"
"서버/백엔드,프론트엔드,웹풀스택","['Spring', 'SQL', 'C++', 'MySQL', 'JavaScript', 'CSS', 'Vue.js']"
"머신러닝,인공지능(AI)","['Amazon Web Services(AWS)', 'Tensorflow', 'Java', 'NLP', 'Python']"
"서버/백엔드,안드로이드앱","['JavaScript', 'CSS', 'HTML', 'Apache HTTP Server', 'React Native', 'Node.js', 'Django', 'MySQL', 'Java']"
"웹풀스택,머신러닝,인공지능(AI)","['ReactJS', 'Flask', 'OpenCV', 'Linux', 'Raspberry Pi', 'Arduino', 'Keras', 'Tensorflow', 'Python']"
"서버/백엔드,안드로이드앱,인공지능(AI)","['Docker', 'Amazon Web Services(AWS)', 'Embedded System', 'Apache', 'AWS DynamoDB', 'NLP', 'MySQL', 'Android', 'Django', 'Python', 'Java']"
"시스템/네트워크,응용프로그램","['C', 'C#', 'C++']"
서버/백엔드,"['Git', 'Linux', 'MySQL', 'Amazon Web Services(AWS)', 'Java']"
"안드로이드앱,아이폰앱","['JavaScript', 'Swift', 'iOS', 'REST API', 'Retrofit', 'Firebase', 'Objective-C', 'Kotlin', 'Android', 'Java']"
"서버/백엔드,프론트엔드,웹풀스택","['CSS', 'HTML', 'Docker', 'Django', 'Python']"
"서버/백엔드,프론트엔드,웹풀스택","['React Native', 'GraphQL', 'ReactJS', 'Node.js', 'JavaScript']"
서버/백엔드,"['JavaScript', 'ReactJS', 'GraphQL', 'Node.js', 'React Native']"
"프론트엔드,웹풀스택","['JavaScript', 'Node.js', 'ReactJS', 'GraphQL']"
"안드로이드앱,아이폰앱","['JavaScript', 'Node.js', 'ReactJS', 'GraphQL', 'React Native']"
서버/백엔드,"['JavaScript', 'CSS', 'HTML', 'Ruby on Rails']"
"서버/백엔드,프론트엔드,웹풀스택","['GraphQL', 'JavaScript', 'TypeScript', 'Node.js']"
"서버/백엔드,프론트엔드,응용프로그램","['.NET', 'JavaScript', 'HTML', 'jQuery', 'MSSQL(Microsoft SQL Server)', 'C#']"
"서버/백엔드,프론트엔드,웹풀스택","['Webpack', 'gulp', 'Sass(SCSS)', 'CSS', 'HTML', 'Redux.js', 'ReactJS', 'MySQL', 'AngularJS', 'MongoDB', 'Node.js']"
"안드로이드앱,아이폰앱,머신러닝","['Java', 'Kotlin', 'Swift', 'iOS']"
"서버/백엔드,머신러닝,인공지능(AI)","['Scikit-Learn', 'Tensorflow', 'gensim']"
서버/백엔드,"['SQL', 'GitHub', 'Spring', 'Java']"
서버/백엔드,"['Git', 'Python', 'Django']"
서버/백엔드,"['Ruby on Rails', 'CSS', 'HTML', 'JavaScript']"
"서버/백엔드,프론트엔드,웹풀스택","['Node.js', 'TypeScript', 'JavaScript', 'GraphQL']"
"서버/백엔드,게임클라이언트,게임서버","['JavaScript', 'Git', 'Node.js']"
"서버/백엔드,프론트엔드,웹풀스택","['Webpack', 'JavaScript', 'Git', 'Node.js', 'Spring', 'MySQL', 'Java']"
서버/백엔드,"['UML', 'NoSQL', 'Hibernate', 'Spring', 'Java']"
프론트엔드,"['CSS', 'HTML', 'ES6', 'Webpack', 'Redux.js', 'ReactJS', 'Electron', 'Node.js']"
프론트엔드,"['C#', 'CSS', 'ES6', 'Vue.js', '.NET', 'Sass(SCSS)', 'JavaScript']"
"서버/백엔드,프론트엔드,웹풀스택","['Bootstrap', 'AngularJS', 'HTML5', 'CSS', 'AWS IAM', 'AWS RDS', 'Node.js', 'PHP', 'ReactJS', 'JavaScript', 'MySQL']"
서버/백엔드,"['Linux', 'Flask', 'Docker', 'Python']"
서버/백엔드,"['Redis', 'Node.js', 'Python']"
안드로이드앱,"['MySQL', 'Android', 'Java']"
"머신러닝,인공지능(AI)","['Tensorflow', 'Machine Learning', 'Deep Learning']"
"프론트엔드,안드로이드앱,아이폰앱","['Webpack', 'ReactJS', 'JavaScript', 'Python']"
프론트엔드,"['C#', '.NET', 'Sass(SCSS)', 'CSS', 'Vue.js', 'ES6', 'JavaScript']"
서버/백엔드,"['Amazon Web Services(AWS)', 'Docker', 'Linux', 'C#', '.NET']"
"서버/백엔드,웹풀스택,시스템/네트워크","['Docker', 'Linux', 'NoSQL', 'Node.js', 'Ruby', 'Go', 'Ruby on Rails', 'Python']"
"서버/백엔드,프론트엔드,웹풀스택","['Django', 'Ruby on Rails', 'Node.js', 'Go', 'Ruby', 'Python']"
프론트엔드,"['Electron', 'PostCSS', 'Sass(SCSS)', 'Elastic Stack', 'Webpack', 'Ruby on Rails', 'AngularJS']"
머신러닝,"['PyTorch', 'Tensorflow', 'Python']"
"서버/백엔드,웹풀스택","['Elasticsearch', 'Django', 'Python']"
서버/백엔드,"['Elastic Stack', 'Redis', 'Aurora DB', 'Ruby on Rails']"
"서버/백엔드,프론트엔드,웹풀스택","['PHP', 'HTML', 'CSS', 'jQuery', 'ES6', 'Git', 'Django', 'MySQL', 'Vue.js', 'Node.js', 'Spring', 'JSP', 'Java']"
웹풀스택,"['JavaScript', 'MySQL', 'Spring']"
서버/백엔드,"['Redis', 'MySQL', 'Spring']"
프론트엔드,"['HTML', 'AngularJS', 'CSS', 'JavaScript']"
서버/백엔드,['Java']
프론트엔드,"['ES6', 'CSS', 'HTML']"
"서버/백엔드,웹풀스택,모바일게임","['Kubernetes', 'GraphQL', 'TypeScript', 'Docker', 'Node.js', 'MySQL']"
